Date,Username,URL,Hashtags,Rendered_Content,Out_Links,Users_Mentioned,Media,Coordinates,Place,Source_URL,Source_Label,Retweeted_Tweet,Quoted_Tweet,Replies,Retweets,Likes,Quotes
10/27/2011 8:43:08 AM,SBTS,https://twitter.com/SBTS/status/129538621337370624,,In The Briefing @albertmohler discusses a Cold War era artifact: U.S.-made ‘monster’ nuclear warhead B53 dismantled ow.ly/7aBKq,['http://ow.ly/7aBKq'],['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
10/26/2011 8:45:55 AM,SBTS,https://twitter.com/SBTS/status/129176934545506306,,"In The Briefing @albertmohler discusses ""Total Capitulation"": response to NYT article ""Evangelical Rejection of Reason"" ow.ly/79mMR",['http://ow.ly/79mMR'],['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
10/25/2011 8:51:10 AM,SBTS,https://twitter.com/SBTS/status/128815866417651712,,"In The Briefing @albertmohler discusses ""China's most immoral moment"": two-year-old's death & moral complacency ow.ly/7889j",['http://ow.ly/7889j'],['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,1,0,0
10/24/2011 8:51:43 AM,SBTS,https://twitter.com/SBTS/status/128453617735831552,,In The Briefing @albertmohler discusses difficulty of full moral evaluation: U.S. troops to leave Iraq by year's end ow.ly/76O1N,['http://ow.ly/76O1N'],['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
10/21/2011 8:51:10 AM,SBTS,https://twitter.com/SBTS/status/127366313487237120,,"In The Briefing @albertmohler discusses a ""signal to tyrants"": the violent end to an era as Qaddafi dies in Libya ow.ly/74x8o",['http://ow.ly/74x8o'],['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
10/20/2011 11:18:47 AM,SBTS,https://twitter.com/SBTS/status/127041076623192064,,A discussion on post-modernism by @AlbertMohler is featured @Ligonier . Listen at bit.ly/ntoXRH,,"['albertmohler', 'Ligonier']",,,,https://about.twitter.com/products/tweetdeck,TweetDeck,,,0,1,0,0
10/20/2011 8:36:51 AM,SBTS,https://twitter.com/SBTS/status/127000324362878976,,"In The Briefing @albertmohler discusses the release of Israeli soldier Gilad Shalit after five years, Hamas negotiates ow.ly/73hJv",['http://ow.ly/73hJv'],['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
10/19/2011 9:17:53 AM,SBTS,https://twitter.com/SBTS/status/126648261250519040,,Wishing @albertmohler a very Happy Birthday.,,['albertmohler'],,,,https://about.twitter.com/products/tweetdeck,TweetDeck,,,0,4,1,0
10/19/2011 8:42:43 AM,SBTS,https://twitter.com/SBTS/status/126639410904186882,,"In The Briefing @albertmohler discusses ""The Evangelical Rejection of Reason"": Giberson, Stephens pose as evangelicals? ow.ly/720Tl",['http://ow.ly/720Tl'],['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,2,1,0
10/18/2011 1:53:38 PM,SBTS,https://twitter.com/SBTS/status/126355270568919040,,@SBTS president @albertmohler speaking at the Answers in Genesis 2011 Pastors Conference yfrog.com/hw2x… (cont) deck.ly/~MnmvK,"['http://yfrog.com/hw2x', 'http://deck.ly/~MnmvK']","['SBTS', 'albertmohler']",,,,https://about.twitter.com/products/tweetdeck,TweetDeck,,,0,0,0,0
10/18/2011 9:37:31 AM,SBTS,https://twitter.com/SBTS/status/126290817450127361,['noplacelikeSBTS'],RT @ethancrowder: Thankful for @SBTS leadership. @albertmohler on CNN & @drmoore speaking on Capitol Hill in the same week. #noplacelikeSBTS,,"['ethancrowder', 'SBTS', 'albertmohler', 'drmoore']",,,,https://about.twitter.com/products/tweetdeck,TweetDeck,,,0,1,0,0
10/18/2011 8:39:36 AM,SBTS,https://twitter.com/SBTS/status/126276239135735809,,"In The Briefing @albertmohler discusses ""Class War - or Generational War?"": the economic well-being of this generation ow.ly/70JWT",['http://ow.ly/70JWT'],['albertmohler'],,,,http://www.hootsuite.com,Hootsuite,,,0,0,0,0
